event_id,ann_date,stock_id,stock_name,industry,CAR_pre_30,CAR_pre_5,CAR_post_5,CAR_post_30,price_prev,shares_issued,market_cap,avg_turnover_60d,turnover_ratio_60d,dividend_yield,momentum_60d,momentum_recent_5d,log_market_cap,log_avg_turnover,is_high_yield,market_cap_w,avg_turnover_60d_w,turnover_ratio_60d_w,dividend_yield_w,momentum_60d_w,momentum_recent_5d_w
00919_20230531,2023-05-31,9802,鈺齊-KY,運動休閒,-0.076673,0.009211,0.034695,-0.066443,123.500000,190070343.000000,23473687360.500000,147155223.666667,0.006060,5.830000,-0.072243,0.012295,23.879146,18.806999,False,23473687360.500000,147155223.666667,0.006060,5.830000,-0.072243,0.012295
00919_20231218,2023-12-18,1504,東元,電機機械,-0.085462,0.002346,-0.002044,-0.023400,46.600000,2138796616.000000,99667922305.600006,598843378.166667,0.005897,3.220000,-0.056643,0.017467,25.325110,20.210511,False,99667922305.600006,598843378.166667,0.005897,3.220000,-0.056643,0.017467
00919_20231218,2023-12-18,1722,台肥,化學生技醫療,0.035014,0.036631,-0.015934,0.007039,68.200000,980000000.000000,66836000000.000000,137633484.216667,0.002227,3.670000,0.058333,0.074016,24.925508,18.740105,False,66836000000.000000,137633484.216667,0.002227,3.670000,0.058333,0.074016
00919_20231218,2023-12-18,2211,長榮鋼,鋼鐵工業,0.234705,0.097854,0.039233,0.119515,99.000000,417091463.000000,41292054837.000000,122373437.283333,0.003620,5.050000,0.310294,0.111111,24.443936,18.622588,True,41292054837.000000,122373437.283333,0.003620,5.050000,0.310294,0.111111
00919_20231218,2023-12-18,2886,兆豐金,金融保險,-0.045627,-0.020146,-0.009974,-0.049331,39.350000,12603688836.000000,495955155696.600037,610490523.866667,0.001261,3.350000,0.072404,0.002548,26.929751,20.229773,False,495955155696.600037,610490523.866667,0.001699,3.350000,0.072404,0.002548
00919_20231218,2023-12-18,2891,中信金,金融保險,0.042796,0.011879,-0.006686,-0.006355,28.150000,19583297106.000000,551269813533.900024,1043046016.616667,0.002059,3.550000,0.113360,0.023636,27.035490,20.765411,False,551269813533.900024,1043046016.616667,0.002059,3.550000,0.113360,0.023636
00919_20231218,2023-12-18,3005,神基,電腦及週邊設備業,0.301052,0.025496,-0.016418,-0.038540,108.500000,606500400.000000,65805293400.000000,746880947.350000,0.012811,3.480000,0.322208,0.053398,24.909966,20.431416,False,65805293400.000000,746880947.350000,0.012811,3.480000,0.322208,0.053398
00919_20231218,2023-12-18,5483,中美晶,半導體業,0.083182,0.069119,0.009132,-0.051683,197.500000,586221651.000000,115778776072.500000,738426697.366667,0.007195,4.560000,0.145963,0.070461,25.474947,20.420032,True,115778776072.500000,738426697.366667,0.007195,4.560000,0.145963,0.070461
00919_20231218,2023-12-18,5904,寶雅,居家生活類,-0.005193,0.026931,0.014154,-0.068165,558.000000,102182048.000000,57017582784.000000,131462205.916667,0.002475,4.300000,0.057286,0.060837,24.766626,18.694230,True,57017582784.000000,131462205.916667,0.002475,4.300000,0.057286,0.060837
00919_20240531,2024-05-31,2451,創見,電子工業,0.218946,0.087009,0.043093,-0.253145,114.500000,429061675.000000,49127561787.500000,164977432.433333,0.003900,4.370000,0.359703,0.040909,24.617686,18.921319,False,49127561787.500000,164977432.433333,0.003900,4.370000,0.359703,0.040909
00919_20240531,2024-05-31,2504,國產,建材營造,-0.013038,0.061944,-0.007927,-0.115510,46.900000,1180000000.000000,55342000000.000000,577884594.733333,0.010835,4.480000,0.404389,0.046875,24.736798,20.174885,False,55342000000.000000,577884594.733333,0.010835,4.480000,0.404389,0.046875
00919_20240531,2024-05-31,2548,華固,建材營造,0.124136,0.046558,0.041574,-0.108103,162.000000,276812726.000000,44843661612.000000,605621079.450000,0.014630,5.250000,0.609195,0.051948,24.526448,20.221765,True,44843661612.000000,605621079.450000,0.014630,5.250000,0.609195,0.051948
00919_20240531,2024-05-31,2618,長榮航,航運業,0.105432,0.037455,0.011715,-0.163932,35.650000,5369125446.000000,191409322149.899994,3907636358.883333,0.020927,5.050000,0.133655,0.012784,25.977680,22.086199,False,191409322149.899994,3815762161.795000,0.020927,5.050000,0.133655,0.012784
00919_20240531,2024-05-31,2809,京城銀,金融保險,0.041900,-0.037067,-0.038598,-0.100300,62.000000,1111234265.000000,68896524430.000000,363015884.200000,0.005738,4.840000,0.534379,-0.025157,24.955872,19.709957,False,68896524430.000000,363015884.200000,0.005738,4.840000,0.534379,-0.025157
00919_20240531,2024-05-31,2889,國票金,金融保險,0.064263,-0.009263,-0.006525,-0.092551,15.300000,3147383983.000000,48154974939.900002,182344403.233333,0.004012,6.410000,0.280992,-0.012903,24.597690,19.021408,True,48154974939.900002,182344403.233333,0.004012,6.410000,0.280992,-0.012903
00919_20240531,2024-05-31,3014,聯陽,電子工業,0.023949,0.055517,-0.065510,-0.172319,179.000000,161080124.000000,28833342196.000000,442888126.933333,0.016087,4.470000,-0.002950,0.059172,24.084798,19.908828,False,28833342196.000000,442888126.933333,0.016087,4.470000,-0.002950,0.059172
00919_20240531,2024-05-31,5347,世界,半導體業,0.203721,0.084001,-0.984352,-0.999049,106.500000,1638982267.000000,174551611435.500000,1483309491.083333,0.010196,4.230000,0.398892,0.054455,25.885486,21.117542,False,174551611435.500000,1483309491.083333,0.010196,4.230000,0.398892,0.054455
00919_20240531,2024-05-31,5508,永信建,建材營造,0.290326,0.081564,0.016400,0.048112,202.500000,217428133.000000,44029196932.500000,748189264.700000,0.018187,5.580000,0.935484,0.054688,24.508119,20.433167,True,44029196932.500000,748189264.700000,0.018187,5.580000,0.710345,0.054688
00919_20240531,2024-05-31,5536,聖暉*,其他電子類,0.021934,0.071467,0.013454,-0.008390,229.500000,124080930.000000,28476573435.000000,141232788.650000,0.005365,4.580000,0.099010,0.033784,24.072348,18.765920,False,28476573435.000000,141232788.650000,0.005365,4.580000,0.099010,0.033784
00919_20240531,2024-05-31,6005,群益證,金融保險,0.070984,-0.037100,-0.003615,-0.121397,23.850000,2170908097.000000,51776158113.450005,382311239.483333,0.007868,5.580000,0.521341,-0.044088,24.670196,19.761746,True,51776158113.450005,382311239.483333,0.007868,5.580000,0.521341,-0.044088
00919_20240531,2024-05-31,8070,長華*,電子工業,0.224473,0.096312,-0.079475,-0.262351,54.800000,688886332.000000,37750970993.599998,216526646.166667,0.006889,4.640000,0.291339,0.113821,24.354277,19.193224,False,37750970993.599998,216526646.166667,0.006889,4.640000,0.291339,0.113821
00919_20240531,2024-05-31,8112,至上,電子工業,-0.056466,0.033822,-0.004646,-0.116602,83.100000,425582679.000000,35365920624.899994,1297509247.433333,0.038156,4.900000,0.301766,0.024661,24.289014,20.983712,False,35365920624.899994,1297509247.433333,0.038156,4.900000,0.301766,0.024661
00919_20241217,2024-12-17,1442,名軒,建材營造,0.151247,-0.070931,-0.051021,0.107961,73.900000,366211358.000000,27063019356.200001,199678206.383333,0.007443,4.740000,0.356098,-0.113909,24.021434,19.112218,True,27063019356.200001,199678206.383333,0.007443,4.740000,0.356098,-0.090641
00919_20241217,2024-12-17,2348,海悅,其他,0.238484,0.089338,0.178324,0.030261,185.500000,116944117.000000,21693133703.500000,299215469.000000,0.014733,5.350000,-0.133166,0.075362,23.800262,19.516675,True,21693133703.500000,299215469.000000,0.014733,5.350000,-0.133166,0.075362
00919_20241217,2024-12-17,2393,億光,電子工業,-0.010874,0.041651,-0.043946,0.075668,82.700000,443393086.000000,36668608212.200005,253631135.116667,0.007223,3.870000,-0.048662,0.057545,24.325187,19.351392,False,36668608212.200005,253631135.116667,0.007223,3.870000,-0.048662,0.057545
00919_20241217,2024-12-17,2606,裕民,航運業,-0.008160,-0.045685,-0.031253,0.013240,57.000000,845055712.000000,48168175584.000000,293919731.500000,0.006079,4.210000,0.183267,-0.040404,24.597964,19.498817,False,48168175584.000000,293919731.500000,0.006079,4.210000,0.183267,-0.040404
00919_20241217,2024-12-17,2637,慧洋-KY,航運業,-0.087608,-0.055504,-0.031656,-0.072288,67.200000,746409199.000000,50158698172.800003,410705267.083333,0.007383,4.090000,0.119195,-0.070539,24.638458,19.833386,False,50158698172.800003,410705267.083333,0.007383,4.090000,0.119195,-0.070539
00919_20241217,2024-12-17,3592,瑞鼎,電子工業,0.120593,0.005963,0.062000,0.006179,360.000000,75855226.000000,27307881360.000000,132053932.383333,0.004866,4.220000,0.175194,-0.050132,24.030441,18.698721,False,27307881360.000000,132053932.383333,0.004866,4.220000,0.175194,-0.050132
00919_20241217,2024-12-17,5522,遠雄,建材營造,0.194180,0.147676,-0.030376,-0.022060,81.400000,781596241.000000,63621934017.400002,137194998.900000,0.002469,4.300000,-0.060000,0.154610,24.876224,18.736914,True,63621934017.400002,137194998.900000,0.002469,4.300000,-0.060000,0.126058
00919_20241217,2024-12-17,8299,群聯,半導體業,0.031934,0.067175,0.044493,0.022422,465.000000,204781137.000000,95223228705.000000,870552155.150000,0.009176,2.810000,-0.063983,0.025358,25.279490,20.584638,False,95223228705.000000,870552155.150000,0.009176,2.894000,-0.063983,0.025358
00919_20250603,2025-06-03,1477,聚陽,紡織纖維,-0.079179,0.021724,-0.136080,-0.147057,267.000000,246693713.000000,65867221371.000000,599744796.533333,0.008421,6.400000,-0.296588,-0.003731,24.910907,20.212015,True,65867221371.000000,599744796.533333,0.008421,6.400000,-0.296588,-0.003731
00919_20250603,2025-06-03,2371,大同,電機機械,-0.036759,0.023304,-0.092542,-0.232662,41.700000,,,891694883.250000,,7.460000,-0.047619,-0.007143,,20.608635,True,,891694883.250000,,7.460000,-0.047619,-0.007143
00919_20250603,2025-06-03,2385,群光,電子零組件業,0.051100,-0.005214,-0.125036,-0.305378,167.500000,760053172.000000,127308906310.000000,697812611.816667,0.005657,5.970000,0.033639,-0.008876,25.569882,20.363461,False,127308906310.000000,697812611.816667,0.005657,5.970000,0.033639,-0.008876
00919_20250603,2025-06-03,2439,美律,電子工業,-0.012384,-0.010895,-0.145266,-0.123706,124.000000,248493814.000000,30813232936.000000,363545526.866667,0.012303,5.890000,0.106667,-0.004016,24.151210,19.711415,False,30813232936.000000,363545526.866667,0.012303,5.890000,0.106667,-0.004016
00919_20250603,2025-06-03,2458,義隆,電子工業,0.035326,-0.003968,-0.107029,-0.167905,134.000000,298761392.000000,40034026528.000000,285286301.250000,0.007350,5.840000,-0.143750,-0.021898,24.412996,19.469004,False,40034026528.000000,285286301.250000,0.007350,5.840000,-0.143750,-0.021898
00919_20250603,2025-06-03,2474,可成,其他電子業,-0.101511,-0.000449,-0.055451,-0.083385,211.500000,680364068.000000,143897000382.000000,868596977.200000,0.006052,7.330000,0.040964,-0.020833,25.692364,20.582390,True,143897000382.000000,868596977.200000,0.006052,7.330000,0.040964,-0.020833
00919_20250603,2025-06-03,2520,冠德,建材營造,0.030815,0.014439,-0.128076,-0.134518,55.700000,553170100.000000,30811574570.000000,170541608.150000,0.005721,7.360000,-0.026132,-0.003578,24.151156,18.954490,True,30811574570.000000,170541608.150000,0.005721,7.360000,-0.026132,-0.003578
00919_20250603,2025-06-03,2609,陽明,航運業,0.037073,-0.020409,-0.146864,-0.305249,79.100000,3492104270.000000,276225447757.000000,3776387505.900000,0.013990,9.480000,0.146575,-0.054958,26.344483,22.052034,True,276225447757.000000,3776387505.900000,0.013990,9.480000,0.146575,-0.054958
00919_20250603,2025-06-03,2881,富邦金,金融保險,-0.036973,0.050513,0.012987,-0.074335,81.800000,13014973243.000000,1064624811277.399902,2019794838.600000,0.001895,5.200000,-0.111232,0.003681,27.693644,21.426262,False,941387692790.522339,2019794838.600000,0.001895,5.200000,-0.111232,0.003681
00919_20250603,2025-06-03,2882,國泰金,金融保險,0.091368,-0.000414,0.033282,-0.088141,60.400000,14669210128.000000,886020291731.199951,2721436596.466667,0.003112,5.790000,-0.043668,-0.080670,27.510006,21.724426,False,886020291731.199951,2721436596.466667,0.003112,5.790000,-0.043668,-0.080670
00919_20250603,2025-06-03,3211,順達,電腦及週邊設備業,0.205779,0.062386,-0.163716,-0.007661,202.000000,152586021.000000,30822376242.000000,1609740592.366667,0.056308,6.190000,0.135211,0.002481,24.151507,21.199339,False,30822376242.000000,1609740592.366667,0.056308,6.190000,0.135211,0.002481
00919_20250603,2025-06-03,4763,材料*-KY,化學生技醫療,-0.042163,0.010632,0.005389,-0.139965,858.000000,98914667.000000,84868784286.000000,2197534513.450000,0.024626,5.550000,-0.054585,-0.009238,25.164372,21.510602,False,84868784286.000000,2197534513.450000,0.024626,5.550000,-0.054585,-0.009238
00919_20250603,2025-06-03,6412,群電,電子零組件業,0.144017,0.042289,-0.150892,-0.172101,126.000000,400769126.000000,50496909876.000000,130431461.483333,0.002837,4.760000,-0.050193,0.024390,24.645178,18.686358,False,50496909876.000000,130431461.483333,0.002837,4.760000,-0.050193,0.024390
00919_20250603,2025-06-03,6670,復盛應用,運動休閒,-0.002029,-0.068657,-0.162422,-0.287187,342.500000,134827293.000000,46178347852.500000,312128009.916667,0.006786,5.750000,,-0.075574,24.555777,19.558924,False,46178347852.500000,312128009.916667,0.006786,5.750000,,-0.075574
00919_20250603,2025-06-03,6757,台灣虎航,航運業,-0.021175,0.026470,-0.134082,-0.159766,95.200000,400000000.000000,38080000000.000000,854685207.816667,0.022735,6.360000,0.097304,0.017094,24.362955,20.566244,False,38080000000.000000,854685207.816667,0.022735,6.360000,0.097304,0.017094
00919_20250603,2025-06-03,8070,長華*,電子工業,0.060546,-0.052443,-0.152485,-0.158240,46.400000,723917455.000000,33589769912.000000,186332058.116667,0.006000,5.820000,0.100350,-0.015907,24.237487,19.043041,False,33589769912.000000,186332058.116667,0.006000,5.820000,0.100350,-0.015907
00919_20251216,2025-12-16,1215,卜蜂,食品工業,0.051438,0.017197,-0.068629,-0.094654,143.000000,294790098.000000,42154984014.000000,193206601.300000,0.004725,3.150000,0.036364,0.003509,24.464619,19.079271,False,42154984014.000000,193206601.300000,0.004725,3.150000,0.036364,0.003509
00919_20251216,2025-12-16,2027,大成鋼,鋼鐵工業,0.034565,-0.002816,-0.081723,-0.084114,37.500000,2434260615.000000,91284773062.500000,540518908.716667,0.005860,2.930000,-0.030573,-0.014455,25.237250,20.108040,False,91284773062.500000,540518908.716667,0.005860,2.930000,-0.030573,-0.014455
00919_20251216,2025-12-16,2211,長榮鋼,鋼鐵工業,0.046185,-0.053953,-0.110323,-0.222932,112.500000,417091463.000000,46922789587.500000,162398346.850000,0.003553,4.440000,0.291533,-0.066390,24.571769,18.905563,False,46922789587.500000,162398346.850000,0.003553,4.440000,0.291533,-0.066390
00919_20251216,2025-12-16,2357,華碩,電腦及週邊設備業,-0.132736,0.000369,-0.082335,-0.315483,584.000000,742760280.000000,433772003520.000000,2092019727.816667,0.004371,5.820000,-0.098802,-0.029900,26.795785,21.461396,True,433772003520.000000,2092019727.816667,0.004371,5.820000,-0.098802,-0.029900
00919_20251216,2025-12-16,2887,台新新光金,金融保險,0.084856,0.076462,0.063531,-0.024599,19.350000,24866276712.000000,481162454377.200012,1342226914.450000,0.002874,4.650000,0.104046,0.013089,26.899471,21.017596,True,481162454377.200012,1342226914.450000,0.002874,4.650000,0.104046,0.013089
00919_20251216,2025-12-16,3036,文曄,電子通路業,0.037359,-0.012637,-0.028423,-0.080519,148.000000,1121621401.000000,165999967348.000000,1096384688.000000,0.006872,4.050000,0.177606,-0.029508,25.835253,20.815284,False,165999967348.000000,1096384688.000000,0.006872,4.050000,0.177606,-0.029508
00919_20251216,2025-12-16,3702,大聯大,電子通路業,0.045030,-0.053743,-0.095929,-0.095509,63.100000,1679056833.000000,105948486162.300003,710966936.000000,0.006640,5.070000,-0.003021,-0.043939,25.386219,20.382136,True,105948486162.300003,710966936.000000,0.006640,5.070000,-0.003021,-0.043939
00919_20251216,2025-12-16,8422,可寧衛*,綠能環保,0.059849,0.094788,0.032960,0.305307,23.450000,112512736.000000,2638423659.200000,366879504.000000,0.076699,4.220000,-0.883206,0.021786,21.693447,19.720544,False,14874689314.352001,366879504.000000,0.062629,4.220000,-0.478440,0.021786
